codigo_stn,ano,estado,tipo_corpo_agua,ph_medio,oxigenio_dissolvido_medio,nitrato_medio_mg_l,coliformes_totais_medio,coliformes_fecais_medio,temperatura_media_c,condutividade_media,bod_medio_mg_l
3051,2023,ANDHRA PRADESH,CANAL,7.35,2.35,5.300000000000001,2321.63735324878,176.63521732655693,24.5,955.0,16.0
4356,2023,ANDHRA PRADESH,CANAL,7.800000000000001,5.5,0.6,185.7417562100671,7.937253933193772,27.5,175.0,1.95
4370,2023,ANDHRA PRADESH,CANAL,7.75,6.300000000000001,1.6,234.9468024894146,12.12435565298214,25.0,126.0,2.0
2354,2023,ANDHRA PRADESH,CANAL,7.35,5.2,1.6,265.329983228432,14.0,26.0,152.5,3.8
4374,2023,ANDHRA PRADESH,CANAL,7.800000000000001,5.75,4.45,169.7056274847714,6.6332495807108,26.0,125.0,2.9000000000000004
2057,2023,DELHI,CANAL,7.300000000000001,0.9,,,193390.7960581372,,,39.0
1479,2023,DELHI,CANAL,7.449999999999999,,0.4499999999999999,,,,,
2265,2023,GOA,CANAL,6.5,6.2,0.55,3588.871688985272,1555.6349186104046,29.0,716.5,1.35
2266,2023,GOA,CANAL,6.65,6.3,0.95,1777.6388834631175,734.8469228349534,28.5,216.0,1.5
2268,2023,GOA,CANAL,7.25,5.85,0.4499999999999999,1794.435844492636,614.8170459575759,28.0,627.5,1.5
2073,2023,GUJARAT,CANAL,7.85,6.199999999999999,0.8,9.16515138991168,2.0,30.0,108.0,1.15
5521,2023,ASSAM,LAKE,7.3,7.35,1.7000000000000002,1122.4972160321825,54.77225575051661,28.5,269.0,4.65
5522,2023,ASSAM,LAKE,8.1,8.0,1.7999999999999998,56.56854249492381,467.9743582719036,27.5,277.0,5.5
3821,2023,ASSAM,LAKE,7.3,5.4,1.4,1003.9920318408906,328.63353450309967,27.5,127.0,2.2
5619,2023,ASSAM,LAKE,7.1,5.3,0.9,1046.4224768228175,431.2771730569565,25.0,137.0,3.9
1263,2023,ASSAM,LAKE,7.25,4.9,1.6,1200.0,467.9743582719036,25.0,258.0,2.55
5623,2023,ASSAM,LAKE,7.0,5.449999999999999,0.9,964.3650760992956,328.63353450309967,20.5,160.5,2.4000000000000004
3787,2023,ASSAM,LAKE,7.1,6.15,1.3,883.1760866327846,431.2771730569565,23.0,122.0,2.3
5617,2023,ASSAM,LAKE,7.25,6.5,0.75,964.3650760992956,328.63353450309967,27.5,99.0,2.3
4337,2023,ASSAM,LAKE,7.05,6.25,1.0,738.9181280764467,509.11688245431424,25.5,92.0,2.2
3812,2023,ASSAM,LAKE,7.4,3.25,2.8,2323.7900077244503,869.4826047713664,28.5,1034.5,23.6
5621,2023,ASSAM,LAKE,7.25,5.3,0.8500000000000001,1200.0,668.1317235396026,28.5,142.0,2.35
3783,2023,ASSAM,LAKE,6.9,7.399999999999999,1.15,1046.4224768228175,472.4404724407087,25.0,139.0,2.3
5622,2023,ASSAM,LAKE,7.35,7.25,0.8999999999999999,924.1212041718336,328.63353450309967,24.0,141.0,2.25
